"","log2FoldChange","pvalue","padj","meanTPM_L14","meanTPM_L7"
"St3gal6",1.08993728288634,1.22636499420133e-10,1.00377686896272e-08,41.7159188350567,18.8986521646657
"Tsga10",3.22255618540467,1.24910697983713e-10,1.01761360217199e-08,9.40695968396866,0.922033744669487
"Zmynd10",2.25451422598347,1.25512163948211e-10,1.01775770524331e-08,8.59956703689835,1.42372347634989
"Gm5063",4.07971362643927,1.27021409705621e-10,1.02522743370731e-08,5.11013544997993,0.270203589187152
"Cdk6",1.3594948519955,1.43120788830474e-10,1.14984692740575e-08,36.439662271288,13.3456365983666
"Ctla2a",2.17584047414004,1.52263979312416e-10,1.21769275932691e-08,77.5093959893073,14.4722433576409
"Htra3",4.168178787607,1.58564251114264e-10,1.26228728489775e-08,1.1221959273032,0.049524767143866
"Fbxo30",1.70112958878733,1.65584780363e-10,1.31218411856752e-08,2.66802721880955,0.64895121500489
"Enpp4",1.56530640596104,1.66546547209668e-10,1.31383371224133e-08,4.83863240767386,1.52513017988688
"Gatm",1.94981892653631,1.74528873963861e-10,1.37060197688557e-08,6.03106088676804,1.4301390860109
"Klrb1",7.21644124255617,1.85961316381106e-10,1.45383389676601e-08,15.7653065136369,0.0923052791834939
"Klk1b27",5.33920834710943,1.90016888652492e-10,1.47890823069979e-08,2.29742863255217,0.0487935265393418
"Pgm2l1",1.87266479400661,1.957080377489e-10,1.51643285782859e-08,3.5756198663855,0.93981676549359
"Pde4a",2.22249938631279,2.11946018573277e-10,1.63498534858695e-08,3.95568294270746,0.848296905196186
"Serpina3f",3.27127237209894,2.42894104265825e-10,1.86546952148475e-08,12.7103458386482,1.18948756280081
"Isg20",1.06065501190536,2.50543871557252e-10,1.91578151610926e-08,109.427755971503,50.8118730555972
"Panx1",1.08947952797364,2.52883682981199e-10,1.92522887733372e-08,33.380685756669,12.3806710932955
"Rcbtb2",1.07991619144511,2.69032893671087e-10,2.03926933402684e-08,54.7547085407522,25.5641775076818
"BC147527",1.22359623874362,2.7653488220494e-10,2.07806428291419e-08,71.1129352695756,28.1639102970845
"Calcb",2.98697665135416,2.76091552247039e-10,2.07806428291419e-08,162.131625574002,18.0708503956671
"Rtp4",1.65088327062379,2.87695707122206e-10,2.14394891653063e-08,350.312778492309,103.586139726712
"Xaf1",1.3246773978398,2.87761871325094e-10,2.14394891653063e-08,258.320940785536,97.4560489650261
"Oasl1",1.92414008944025,3.25397561729149e-10,2.4038055471127e-08,30.019756432868,7.28502170074099
"Sytl3",1.09416799724471,3.24517510484077e-10,2.4038055471127e-08,38.4985684538656,16.6445213426265
"Ripor2",-1.14735277252029,3.42664374848308e-10,2.52067962493898e-08,29.2998475049662,62.9965395589669
"Nfil3",1.51060301129416,3.93091071047373e-10,2.87947467757979e-08,12.9362782822237,4.21368444980832
"Frmd4b",2.16486984862179,3.96048635334298e-10,2.88900079850132e-08,10.2152001137859,2.15721113013673
"Cdk17",1.13939325038923,4.14913010152035e-10,3.01399725791274e-08,31.5204329598128,13.0471285910768
"Sytl1",1.57748339324997,5.12182555436724e-10,3.70514135746218e-08,4.14759985956049,1.29365874191124
"Bend6",1.94311806689053,5.20930825191354e-10,3.75285454809342e-08,6.19916867474267,1.4572252289201
"Fam102a",1.25640640009698,5.3683442045861e-10,3.85151081739729e-08,16.8959918001853,6.64702330289183
"Slc17a9",-1.38670608221467,5.53557720275082e-10,3.95521528494909e-08,4.73449796516123,13.8867914827305
"Dab2",2.17071513240184,5.57222270236247e-10,3.96514818746887e-08,1.98463486248495,0.378347410354999
"Pim1",1.67131521170496,5.86039236686273e-10,4.15325530584898e-08,141.67003646396,43.9359006480639
"Pigr",-3.17571752074567,6.35989703175666e-10,4.48900586443909e-08,0.0449844412868474,0.440166550894976
"Icos",-1.6729398531222,6.51160493022054e-10,4.57755324005907e-08,17.7432612826615,56.540292622226
"Camk2n1",3.47088183766316,6.95395572091597e-10,4.8688861059618e-08,0.5852890909203,0.0459203483598981
"Irf4",-2.33012451233862,7.13280138147644e-10,4.95431311891076e-08,2.75190481442887,14.1616810124235
"Kndc1",2.57445794272923,7.12694767242935e-10,4.95431311891076e-08,0.888029675394082,0.150350259688494
"Dnph1",-2.4604328714038,7.51390172440226e-10,5.19830804219163e-08,0.849167725738686,4.79066616426419
"Acvr2b",3.16065811623756,8.62549368445699e-10,5.94374928438036e-08,2.06535082229112,0.224881832746445
"Dock5",1.58545389960581,8.73691898093384e-10,5.99682856352758e-08,2.71558200928752,0.62186239728272
"Gm5884",-8.85522577448021,9.03602024773255e-10,6.17780301956742e-08,4.36801450946357e-06,0.99052518847512
"Capg",-1.48164345653371,9.19448151360219e-10,6.26158557453674e-08,90.0612397463495,254.064862149303
"Gm21909",4.35112957814664,9.95849680079964e-10,6.75550323833233e-08,8.28327055885857,0.352709873932575
"Hcst",1.03064235819725,1.11236810135324e-09,7.51667654224509e-08,540.465165974547,244.164404326222
