"","log2FoldChange","pvalue","padj","meanTPM_E5","meanTPM_L5"
"Mgmt",2.91909383963251,2.59798313368574e-24,2.26682688357859e-22,0.207746596071125,1.59807537064246
"Gzmk",-4.47538499539993,2.76703409413114e-24,2.40364660778683e-22,394.670501748466,16.836830886765
"Rflnb",-3.32331158878087,2.90353338354914e-24,2.51110869541131e-22,4.14398316031497,0.372931185650785
"Zcchc18",-2.04120469381805,3.47619627796268e-24,2.99318795302471e-22,20.7202098691003,4.82521766614634
"Qser1",4.26207775970856,5.30352753925404e-24,4.54667478823735e-22,0.0235310364074179,0.463702648087283
"Ighg3",-7.48323806967821,6.25825140212883e-24,5.34182571854753e-22,7.56067662490014,0.0252507687257108
"Litaf",2.3901774133403,6.45005652413351e-24,5.48171037583503e-22,14.4660777140958,77.5403185647153
"Cd40lg",2.63320034483474,8.45895896584395e-24,7.15802941454519e-22,1.36120461614099,8.38262285177387
"Prss30",-3.17829948321135,8.57927728899909e-24,7.22868548230172e-22,5.63124684395494,0.624917672210262
"Smad3",-2.17527389017009,8.87697364997421e-24,7.44755327761939e-22,7.92575041808006,1.48253977689918
"Klhl3",-3.54245194693996,1.21769217954337e-23,1.01726522845938e-21,2.77987511525104,0.206134172395138
"B4galt1",-1.67127606735388,1.25246957262776e-23,1.03748871940203e-21,39.3578742047613,11.9174069789947
"Cd79a",-3.18127099225357,1.25099373046162e-23,1.03748871940203e-21,26.5285608539899,2.87073525215592
"Ctla4",1.9224819709779,1.31386684816979e-23,1.08377453627182e-21,13.2063537658561,50.3319049611072
"Chil5",-3.62502351466177,1.42601560794666e-23,1.17136143996689e-21,20.7412620442335,1.76812026347974
"Hspd1",1.53138184217284,1.47096984997155e-23,1.20325333727673e-21,71.9407236410857,197.059464531118
"Sgms1",-2.06800153809145,1.49808518253807e-23,1.22034889226504e-21,15.8720970586956,3.687907283184
"F10",3.89759021125309,1.62384586734812e-23,1.31732818461894e-21,0.419003451692747,6.46172625412156
"Mctp2",-2.91732095303768,1.86597570498001e-23,1.50752407572706e-21,5.39340590145641,0.614810336858235
"Gna15",-2.80152479454734,2.08735868143275e-23,1.678795900415e-21,58.6776486911176,9.02124546658703
"Tmem140",-1.92558042131797,2.0950743459743e-23,1.678795900415e-21,9.27965089787335,2.2034911171809
"Cercam",-3.7919686143812,2.51470645088908e-23,2.00685841641685e-21,13.2889888114958,0.791661765622424
"Stk39",1.91810274098851,2.58238308271307e-23,2.05252407610619e-21,2.92134164143603,14.7748155647331
"Bambi-ps1",2.51766498304798,2.89452322452968e-23,2.29134193322446e-21,9.00077440779673,52.8421031809337
